"","price.index","arr_time.x","dep_time.x","dur_hours.x","dur_minutes.x","parse_time.x","fl_class.x","fl_from.x","fl_to.x","arr_time.y","dep_time.y","dur_hours.y","dur_minutes.y","parse_time.y","fl_class.y","fl_from.y","fl_to.y","X","comp_name","changes1","changes2","ncomp","options1","options2","price","stops1","stops2","opt.sum"
"89",16,"2013-05-15 21:35","2013-05-15 15:40",7,55,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 20:05","2013-05-28 11:00",7,5,"2013-05-10 23:51","E","MOW","PAR",35,"Lufthansa",2,1,2,2,1,15876,1,1,3
"90",17,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 09:20",7,5,"2013-05-10 23:51","E","MOW","PAR",36,"Lufthansa",4,3,3,4,3,15893,1,1,7
"91",17,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 09:20",7,5,"2013-05-10 23:51","E","MOW","PAR",37,"Air France",4,3,3,4,3,15893,1,1,7
"92",17,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 09:20",7,5,"2013-05-10 23:51","E","MOW","PAR",38,"Swiss",4,3,3,4,3,15893,1,1,7
"93",17,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 10:50",5,35,"2013-05-10 23:51","E","MOW","PAR",36,"Lufthansa",4,3,3,4,3,15893,1,1,7
"94",17,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 10:50",5,35,"2013-05-10 23:51","E","MOW","PAR",37,"Air France",4,3,3,4,3,15893,1,1,7
"95",17,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 10:50",5,35,"2013-05-10 23:51","E","MOW","PAR",38,"Swiss",4,3,3,4,3,15893,1,1,7
"96",17,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 01:55","2013-05-28 17:55",6,0,"2013-05-10 23:51","E","MOW","PAR",36,"Lufthansa",4,3,3,4,3,15893,1,1,7
"97",17,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 01:55","2013-05-28 17:55",6,0,"2013-05-10 23:51","E","MOW","PAR",37,"Air France",4,3,3,4,3,15893,1,1,7
"98",17,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 01:55","2013-05-28 17:55",6,0,"2013-05-10 23:51","E","MOW","PAR",38,"Swiss",4,3,3,4,3,15893,1,1,7
"99",17,"2013-05-15 10:10","2013-05-15 06:35",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 09:20",7,5,"2013-05-10 23:51","E","MOW","PAR",36,"Lufthansa",4,3,3,4,3,15893,1,1,7
"100",17,"2013-05-15 10:10","2013-05-15 06:35",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 18:25","2013-05-28 09:20",7,5,"2013-05-10 23:51","E","MOW","PAR",37,"Air France",4,3,3,4,3,15893,1,1,7
